date,crudedaily.rets
10/12/1989,1.525244821
10/13/1989,2.03003588
10/16/1989,-1.300283189
10/17/1989,0.193704661
10/18/1989,-0.484967003
10/19/1989,-0.977047343
10/20/1989,-1.683208056
10/23/1989,-1.813651728
10/24/1989,0.101626025
10/25/1989,-0.509166069
10/26/1989,-0.614441257
10/27/1989,1.579650681
10/30/1989,-0.253100616
10/31/1989,0.757388119
11/1/1989,1.00100936
11/2/1989,-0.349214623
11/3/1989,1.0440065
11/6/1989,-0.794443106
11/7/1989,-0.499751165
11/8/1989,0
11/9/1989,-1.769063068
11/10/1989,1.166046165
11/13/1989,-1.166046165
11/14/1989,-0.20418588
11/15/1989,0.560511022
11/16/1989,1.01113096
11/17/1989,0.201005093
11/20/1989,1.04869875
11/21/1989,1.870133243
11/22/1989,-3.523063438
11/23/1989,0
11/24/1989,0.151400483
11/27/1989,-0.962763961
11/28/1989,-1.642747414
11/29/1989,0.413223728
11/30/1989,2.343459255
12/1/1989,1.944713494
12/4/1989,-0.098814237
12/5/1989,-0.098911976
12/6/1989,1.229422911
12/7/1989,-0.097799519
12/8/1989,-0.195886449
12/11/1989,1.363214879
12/12/1989,0.578593707
12/13/1989,-0.240674003
12/14/1989,-0.434678299
12/15/1989,2.249436794
12/18/1989,4.939845725
12/19/1989,-0.1803427
12/20/1989,-2.698540148
12/21/1989,-0.232072511
12/22/1989,-1.027566258
12/25/1989,0
12/26/1989,2.823608089
12/27/1989,-0.641027836
12/28/1989,-0.783956056
12/29/1989,1.059185587
1/1/1990,0
1/2/1990,4.697799595
1/3/1990,3.942241417
1/4/1990,-1.652229917
1/5/1990,-1.506376666
1/8/1990,-6.401827488
1/9/1990,2.781122942
1/10/1990,2.924444118
1/11/1990,1.042581121
1/12/1990,0.086393094
1/15/1990,-3.560033165
1/16/1990,1.112358522
